Channel_Name,Date_of_Publishing,Hour_GMT2,Title,Description,Tags,Video_Type,View_Count,Like_Count,Comment_Count,Favorite_Count,Definition,Has_Captions,Licensed_Content,Topic_Categories,Names_Extracted,Video_ID
Radio ZET,2025-07-27,16:00,Schrony NAS URATUJĄ? Ekspert ujawnia BRUTALNĄ PRAWDĘ!,"Cały odcinek podcastu ""W razie W"" już na naszym kanale!","radio zet, podcasty radio zet, pierwsze źródło informacji, wiadomości z polski, informacje, wiadomości, newsy, wiadomości dziś, breaking news, aktualne informacje, komentarze polityczne, commentary polska, w razie w, czy wybuchnie wojna, jak przygotować się na wojnę, gdzie uciec w razie wojny, jak przetrwać wojnę, survival, zestaw do ewakuacji, plecak ewakuacyjny, prywatny schron, jak zbudować schron, schron przydomowy, gdzie jest schron, gdzie schronić się przed wojną",long,1493,22,1,0,hd,No,Yes,,,D8Aw8euIoMI
Radio ZET,2025-07-27,08:00,"Uznański jak SHELDON?! 🤯 ""Teoria wielkiego podrywu"" w kosmosie!",Sheldon czy jednak Howard? :) Piszcie w komentarzach!,"radio zet, podcasty radio zet, pierwsze źródło informacji, wiadomości z polski, informacje, wiadomości, newsy, wiadomości dziś, breaking news, aktualne informacje, komentarze polityczne, commentary polska, Sławosz Uznański, RadioZET, Polski Astronauta, Kosmos, Księżyc, Pierwszy Polak Na Księżycu, ESA, NASA, Loty Kosmiczne, Nauka, Polska W Kosmosie, Ekskluzywny Wywiad, TYLKO W Radiu ZET, sławosz uznański wiśniewski, lot w kosmos, kosmos, polak w kosmosie, unzański w kosmosie",long,2246,21,2,0,hd,No,Yes,,,iwBc_WVaGDo
Radio ZET,2025-07-27,08:00,JAK ZBUDOWAĆ SCHRON KROK PO KROKU? Ekspert ostrzega: Piwnica w bloku to śmiertelna pułapka W RAZIE W,"Gdy spadają rakiety, nie ma czasu na pytania. A jeśli nie wiesz, gdzie się schować, nie przeżyjesz. W tym odcinku cała prawda o schronach, piwnicach i improwizacji „w razie W”. A jeśli chcesz zainwestować we własny schron – oto poradnik: jak, gdzie i za ile.

Czy piwnica w bloku lub garaż podziemny to bezpieczne schronienie w razie ataku? W najnowszym odcinku podcastu ""W razie W"" Paweł Frankowski, autor książki ""Schron przydomowy"", brutalnie weryfikuje nasze wyobrażenia i ostrzega, że dla wielu ","radio zet, podcasty radio zet, w razie w, czy wybuchnie wojna, jak przygotować się na wojnę, gdzie uciec w razie wojny, jak przetrwać wojnę, survival, zestaw do ewakuacji, plecak ewakuacyjny, prywatny schron, jak zbudować schron, schron przydomowy, gdzie jest schron, gdzie schronić się przed wojną, czy piwnica to dobry schron, czy garaż może być schronem, ile kosztuje schron",long,1076,42,10,0,hd,No,Yes,,,Eak6dfBsx9o
Radio ZET,2025-07-26,16:00,"Schrony w Polsce TO MIT?! I Podcast ""W razie W""",Premiera podcastu już jutro na naszym kanale!,"radio zet, podcasty radio zet, w razie w, czy wybuchnie wojna, jak przygotować się na wojnę, gdzie uciec w razie wojny, jak przetrwać wojnę, survival, zestaw do ewakuacji, plecak ewakuacyjny, prywatny schron, jak zbudować schron, schron przydomowy, gdzie jest schron, gdzie schronić się przed wojną, czy piwnica to dobry schron, czy garaż może być schronem, ile kosztuje schron",long,1697,16,0,0,hd,No,Yes,,,8GMwQ1sFZY8
Radio ZET,2025-07-26,13:00,"CO BY BYŁO GDYBY...ludzie wybierali partnerów, jak książki w bibliotece?",Karpowicz i Gajda dokonują poważnych analiz abstrakcyjnych scenariuszy.,"radio zet, podcasty radio zet, co by było gdyby, robert karpowicz, Bartosz gajda, karpowicz, rozrywka, zabawa, standup, humor, suchary nowe, śmieszne, karpiu radio zet, dej suchara, suchary, radio zet śmieszne, karpiu, śmieszne filmy, śmieszne rozmowy, haha, zabawne, śmieszne polskie filmy, smieszne filmy, suchar, co by było gdyby radio zet",long,3526,59,1,0,hd,No,Yes,,,S8PQUVV5O7A
Radio ZET,2025-07-26,10:01,Jak działa TOALETA w kosmosie?!,Wywiad ze Sławoszem Uznańskim - Wiśniewskim już na naszym kanale!,"radio zet, podcasty radio zet, pierwsze źródło informacji, wiadomości z polski, informacje, wiadomości, newsy, wiadomości dziś, breaking news, aktualne informacje, komentarze polityczne, commentary polska, Sławosz Uznański, RadioZET, Polski Astronauta, Kosmos, Księżyc, Pierwszy Polak Na Księżycu, ESA, NASA, Loty Kosmiczne, Nauka, Polska W Kosmosie, Ekskluzywny Wywiad, TYLKO W Radiu ZET, sławosz uznański wiśniewski, lot w kosmos, kosmos, polak w kosmosie, unzański w kosmosie",long,9356,64,12,0,hd,No,Yes,,,xxcJA8Kz2uE
Radio ZET,2025-07-26,08:30,Urodziny Oskara Cymsa 🥳 The best of Oskar // Funny moments #radiozet #muzykanr1 #oskarcyms,,,long,3420,69,4,0,hd,No,Yes,,Urodziny Oskara,6X5uC_fp5AA
Radio ZET,2025-07-25,18:00,"Kim NAPRAWDĘ jest Grzegorz Braun? ""Wcześniej przez 20 lat nie był ani religijny, ani konserwatywny""","#podejrzanipolitycy Kim naprawdę jest Grzegorz Braun - skrajnie prawicowy, tradycjonalistyczny polityk, który, przekraczając kolejne społeczno-kulturowe tabu i moralno-polityczne granice - zdobywa coraz większą rzeszę wiernych wyznawców? 

Jakie są dzieje jego rodziny? Kto z jego przodków mógł mieć na niego największy wpływ ideologiczny, a z czyją figurą najmocniej się zmagał? Do jakich ruchów przyłączał się w młodości, a do których sił politycznych ""przykleił"" się wtedy, gdy zyskał prawicową św","radio zet, podcasty radio zet, pierwsze źródło informacji, wiadomości z polski, informacje, wiadomości, newsy, wiadomości dziś, breaking news, aktualne informacje, komentarze polityczne, commentary polska, #grzegorz braun",long,8497,205,353,0,hd,No,Yes,,"Grzegorz Braun, Krytyki Politycznej, Podejrzani Politycy, Gabriela Narutowicza",8xX1gWbxm0E
Radio ZET,2025-07-25,16:45,Maryla i Lanberry dzielą się swoimi szaleństwami 🌹 #radiozet #muzykanr1 #zegnijpalecjeśli #shorts,,"radio zet, podcasty radio zet, pierwsze źródło informacji, wiadomości z polski, informacje, wiadomości, newsy, wiadomości dziś, breaking news, aktualne informacje, komentarze polityczne, commentary polska",long,5966,45,4,0,hd,No,Yes,,,Zoncf7nsN9s
Radio ZET,2025-07-25,15:00,Nowy rząd idzie na starcie z Karolem Nawrockim! I DZIEJE SIĘ,"Ten odcinek podcastu politycznego ""Dzieje się"" rozpoczynamy od tematu rekonstrukcji rządu Donalda Tuska. 

W środę poznaliśmy nazwiska nowych ministrów, a już w czwartek wszyscy nowi ministrowie złożyli ślubowanie w Pałacu Prezydenckim. Zastanawiamy się, czy rekonstrukcja rządu spełni stawiane przed nią cele, czyli wzrost notowań rządu oraz partii go tworzących. Komentujemy dymisję Adama Bodnara i zastąpienie go przez Waldemara Żurka na stanowisku ministra sprawiedliwości. Karolina Lewicka zdrad","radio zet, podcasty radio zet, pierwsze źródło informacji, wiadomości z polski, informacje, wiadomości, newsy, wiadomości dziś, breaking news, aktualne informacje, komentarze polityczne, commentary polska, dzieje się, lubecka, rekonstrukcja rządu, zaprzysiężenie prezydenta, nawrocki, karol nawrocki",long,4770,126,39,0,hd,No,Yes,,"Karolina Lewicka, Donalda Tuska, Adama Bodnara, Adam Bodnar, Prezydenta Karola",DMadvmBipCM
Radio ZET,2025-07-25,12:30,Uznański - Wiśniewski UJAWNIA swoje marzenie w Radiu ZET!,Ekskluzywny wywiad ze Sławoszem Uznańskim - Wiśniewskim już na naszym kanale!,"radio zet, podcasty radio zet, pierwsze źródło informacji, wiadomości z polski, informacje, wiadomości, newsy, wiadomości dziś, breaking news, aktualne informacje, komentarze polityczne, commentary polska, Sławosz Uznański, RadioZET, Polski Astronauta, Kosmos, Księżyc, Pierwszy Polak Na Księżycu, ESA, NASA, Loty Kosmiczne, Nauka, Polska W Kosmosie, Ekskluzywny Wywiad, TYLKO W Radiu ZET, sławosz uznański wiśniewski, lot w kosmos, kosmos, polak w kosmosie, unzański w kosmosie",long,5955,43,5,0,hd,No,Yes,,,LGlcN0aJONw
