Channel_Name,Channel_ID,Date_of_Publishing,Hour_GMT2,Title,Description,Tags,video_type,View_Count,Like_Count,Comment_Count,Favorite_Count,Definition,Has_Captions,Licensed_Content,Topic_Categories,Video_ID,Duration,Thumbnail_URL
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-24,20:00,Jakim partnerem był Krzysztof Gonciarz?,https://www.instagram.com/zurnalistapl/,,shorts,11807,54,9,0,hd,false,True,22,uT1YHGC-lrQ,PT34S,https://i.ytimg.com/vi/uT1YHGC-lrQ/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-24,18:00,WZLOTY I UPADKI KRZYSZTOFA GONCIARZA,"https://www.instagram.com/zurnalistapl/

Wypróbuj angielski online w Tutlo podczas bezpłatnej lekcji próbnej od Żurnalisty https://tutlo.pro/ZURNALISTAYT
_____
- 10% na wszystkie produkty, również przecenione
obowiązuje na www.bielenda.com i www.skinarte.com
KOD rabatowy: ZURNALISTA10",,long,16349,468,110,0,hd,false,True,22,z-dB7WaJZCM,PT1H48M24S,https://i.ytimg.com/vi/z-dB7WaJZCM/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-25,20:00,Krzysztof Gonciarz – stał się mściwy?,https://www.instagram.com/zurnalistapl/,,shorts,9439,33,1,0,hd,false,True,22,ll1NML6ZqX4,PT23S,https://i.ytimg.com/vi/ll1NML6ZqX4/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-25,18:00,Krzysztof Gonciarz – słowa Żulczyka uderzyły najmocniej?,https://www.instagram.com/zurnalistapl/,,shorts,14122,44,0,0,hd,false,True,22,A3XX6Vh59-M,PT35S,https://i.ytimg.com/vi/A3XX6Vh59-M/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-25,16:01,Krzysztof Gonciarz: Internet zamienił mnie w ofiarę Hunger Games,https://www.instagram.com/zurnalistapl/,,long,8711,84,3,0,hd,false,True,22,mEn-6dTogow,PT1M19S,https://i.ytimg.com/vi/mEn-6dTogow/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-25,14:00,Dlaczego nikt nie próbował tego zweryfikować? Krzysztof Gonciarz,https://www.instagram.com/zurnalistapl/,,shorts,4441,26,1,0,hd,false,True,22,0c2oMjaIsQA,PT50S,https://i.ytimg.com/vi/0c2oMjaIsQA/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-25,12:00,Krzysztof Gonciarz – czym wkurzył te dziewczyny?,https://www.instagram.com/zurnalistapl/,,long,13854,88,5,0,hd,false,True,22,Hko3XedmRBU,PT1M17S,https://i.ytimg.com/vi/Hko3XedmRBU/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-25,10:00,Krzysztof Gonciarz – czy dalej ma takie lewicowe poglądy?,https://www.instagram.com/zurnalistapl/,,shorts,11090,71,0,0,hd,false,True,22,PSq6J2N9sNI,PT42S,https://i.ytimg.com/vi/PSq6J2N9sNI/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-25,07:53,Krzysztof Gonciarz: do swojej racji dochodziłem miesiącami,https://www.instagram.com/zurnalistapl/,,long,10086,60,0,0,hd,false,True,22,S0U8JZ9YZNo,PT1M13S,https://i.ytimg.com/vi/S0U8JZ9YZNo/default.jpg
Cyprian Majcher,UCeutiD5CfqFwIT91uS35OVw,2025-08-24,19:00,"Nie każdy chce widzieć, jak wspinam się bez liny… - Marcin Banot BNT",,"podcast, cyprian majcher, wywiad, marcin banot, bnt, polski spiderman, buildering, życie na krawędzi, adrenalina, skyscraper climbing, urban climbing, rooftopping, extreme climbing, polish spiderman, life on the edge",shorts,3325,31,2,0,hd,false,True,22,2ApbK6kMrP8,PT44S,https://i.ytimg.com/vi/2ApbK6kMrP8/default.jpg
