Channel_Name,Channel_ID,Date_of_Publishing,Hour_GMT2,Title,Description,Tags,video_type,View_Count,Like_Count,Comment_Count,Favorite_Count,Definition,Has_Captions,Licensed_Content,Topic_Categories,Video_ID,Duration,Thumbnail_URL,Category
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-21,08:23,Andrzej Duda: nie odtajniłem akt i miałem ku temu powody,https://www.instagram.com/zurnalistapl/,,shorts,239405,1959,76,0,hd,false,True,22,NYFzsS-DDec,PT43S,https://i.ytimg.com/vi/NYFzsS-DDec/default.jpg,Podcast
Cyprian Majcher,UCeutiD5CfqFwIT91uS35OVw,2025-08-23,16:01,Nie wierzę w agresywne teorie spiskowe - Robert Bernatowicz,,"podcast, cyprian majcher, wywiad, robert bernatowicz, fundacja nautilus, duchowość, rozwój osobisty, świadomość, życie po życiu, sens życia, energia, medytacja, duchowy rozwój, inspiracja, refleksja, czakry, reinkarnacja, dusza, energia człowieka, tajemnice wszechświata, zjawiska niewyjaśnione, mistycyzm, rozwój duchowy",shorts,3067,115,4,0,hd,false,True,27,qNMDytvDSXM,PT39S,https://i.ytimg.com/vi/qNMDytvDSXM/default.jpg,Podcast
Cyprian Majcher,UCeutiD5CfqFwIT91uS35OVw,2025-08-23,13:01,"Śniła mi się, a potem odkryłem jej tragiczną przeszłość - Robert Bernatowicz",,"podcast, cyprian majcher, wywiad, robert bernatowicz, fundacja nautilus, duchowość, rozwój osobisty, świadomość, życie po życiu, sens życia, energia, medytacja, duchowy rozwój, inspiracja, refleksja, czakry, reinkarnacja, dusza, energia człowieka, tajemnice wszechświata, zjawiska niewyjaśnione, mistycyzm, rozwój duchowy",long,22246,497,17,0,hd,false,True,27,cvD-lP7XKpI,PT1M16S,https://i.ytimg.com/vi/cvD-lP7XKpI/default.jpg,Podcast
Cyprian Majcher,UCeutiD5CfqFwIT91uS35OVw,2025-08-23,10:00,Reinkarnacja naprawdę ma swoje dowody - Robert Bernatowicz,,"podcast, cyprian majcher, wywiad, robert bernatowicz, fundacja nautilus, duchowość, rozwój osobisty, świadomość, życie po życiu, sens życia, energia, medytacja, duchowy rozwój, inspiracja, refleksja, czakry, reinkarnacja, dusza, energia człowieka, tajemnice wszechświata, zjawiska niewyjaśnione, mistycyzm, rozwój duchowy",shorts,18397,582,19,0,hd,false,True,27,W1dKRyliSIE,PT44S,https://i.ytimg.com/vi/W1dKRyliSIE/default.jpg,Podcast
Cyprian Majcher,UCeutiD5CfqFwIT91uS35OVw,2025-08-23,07:00,Czy człowiek może odrodzić się jako zwierzę? - Robert Bernatowicz,,"podcast, cyprian majcher, wywiad, robert bernatowicz, fundacja nautilus, duchowość, rozwój osobisty, świadomość, życie po życiu, sens życia, energia, medytacja, duchowy rozwój, inspiracja, refleksja, czakry, reinkarnacja, dusza, energia człowieka, tajemnice wszechświata, zjawiska niewyjaśnione, mistycyzm, rozwój duchowy",shorts,18486,477,44,0,hd,false,True,27,32_ULO6844w,PT52S,https://i.ytimg.com/vi/32_ULO6844w/default.jpg,Podcast
Cyprian Majcher,UCeutiD5CfqFwIT91uS35OVw,2025-08-22,16:00,Czy to dowód? Kula światła pojawiła się na nagraniu - Robert Bernatowicz,,"podcast, cyprian majcher, wywiad, robert bernatowicz, fundacja nautilus, duchowość, rozwój osobisty, świadomość, życie po życiu, sens życia, energia, medytacja, duchowy rozwój, inspiracja, refleksja, czakry, reinkarnacja, dusza, energia człowieka, tajemnice wszechświata, zjawiska niewyjaśnione, mistycyzm, rozwój duchowy",long,30696,702,25,0,hd,false,True,27,F9B-AtIpgGU,PT1M45S,https://i.ytimg.com/vi/F9B-AtIpgGU/default.jpg,Podcast
Cyprian Majcher,UCeutiD5CfqFwIT91uS35OVw,2025-08-22,13:01,Księża pytają mnie o życie po śmierci i UFO - Robert Bernatowicz,,"podcast, cyprian majcher, wywiad, robert bernatowicz, fundacja nautilus, duchowość, rozwój osobisty, świadomość, życie po życiu, sens życia, energia, medytacja, duchowy rozwój, inspiracja, refleksja, czakry, reinkarnacja, dusza, energia człowieka, tajemnice wszechświata, zjawiska niewyjaśnione, mistycyzm, rozwój duchowy",long,37204,726,42,0,hd,false,True,27,u1uBLdGSJh4,PT1M7S,https://i.ytimg.com/vi/u1uBLdGSJh4/default.jpg,Podcast
Cyprian Majcher,UCeutiD5CfqFwIT91uS35OVw,2025-08-22,10:00,Co wydarzyło się na wizji w Sylwestra 2002? - Robert Bernatowicz,,"podcast, cyprian majcher, wywiad, robert bernatowicz, fundacja nautilus, duchowość, rozwój osobisty, świadomość, życie po życiu, sens życia, energia, medytacja, duchowy rozwój, inspiracja, refleksja, czakry, reinkarnacja, dusza, energia człowieka, tajemnice wszechświata, zjawiska niewyjaśnione, mistycyzm, rozwój duchowy",long,78777,1559,26,0,hd,false,True,27,5NMgtYohZgs,PT2M23S,https://i.ytimg.com/vi/5NMgtYohZgs/default.jpg,Podcast
Cyprian Majcher,UCeutiD5CfqFwIT91uS35OVw,2025-08-22,07:01,"Nie ma życia nieudanego, każde ma sens - Robert Bernatowicz",,"podcast, cyprian majcher, wywiad, robert bernatowicz, fundacja nautilus, duchowość, rozwój osobisty, świadomość, życie po życiu, sens życia, energia, medytacja, duchowy rozwój, inspiracja, refleksja, czakry, reinkarnacja, dusza, energia człowieka, tajemnice wszechświata, zjawiska niewyjaśnione, mistycyzm, rozwój duchowy",shorts,36110,745,8,0,hd,false,True,27,VlmRxCz83bc,PT29S,https://i.ytimg.com/vi/VlmRxCz83bc/default.jpg,Podcast
Cyprian Majcher,UCeutiD5CfqFwIT91uS35OVw,2025-08-21,16:01,Czy to był przypadek? Historia niezwykłej wygranej - Robert Bernatowicz,,"podcast, cyprian majcher, wywiad, robert bernatowicz, fundacja nautilus, duchowość, rozwój osobisty, świadomość, życie po życiu, sens życia, energia, medytacja, duchowy rozwój, inspiracja, refleksja, czakry, reinkarnacja, dusza, energia człowieka, tajemnice wszechświata, zjawiska niewyjaśnione, mistycyzm, rozwój duchowy",long,100920,1283,82,0,hd,false,True,27,uotlxg8So_U,PT1M20S,https://i.ytimg.com/vi/uotlxg8So_U/default.jpg,Podcast
